# GeoSpeak Parallel Corpus
# Format: source_lang|target_lang|source_text|target_text
# ~58 rows — English to French, Spanish, German, Urdu (includes idiom pairs)

en|fr|Hello, how are you?|Bonjour, comment allez-vous ?
en|fr|Good morning!|Bonjour !
en|fr|Good evening.|Bonsoir.
en|fr|What is your name?|Comment vous appelez-vous ?
en|fr|My name is Alex.|Je m'appelle Alex.
en|fr|Please help me.|Aidez-moi, s'il vous plaît.
en|fr|Where is the nearest hospital?|Où est l'hôpital le plus proche ?
en|fr|I would like a glass of water.|Je voudrais un verre d'eau.
en|fr|How much does this cost?|Combien cela coûte-t-il ?
en|fr|Thank you very much.|Merci beaucoup.
en|fr|I don't understand.|Je ne comprends pas.
en|fr|Can you speak more slowly?|Pouvez-vous parler plus lentement ?
en|es|Hello, how are you?|Hola, ¿cómo estás?
en|es|Good morning!|¡Buenos días!
en|es|Good evening.|Buenas noches.
en|es|What is your name?|¿Cómo te llamas?
en|es|My name is Alex.|Me llamo Alex.
en|es|Please help me.|Por favor, ayúdame.
en|es|Where is the nearest hospital?|¿Dónde está el hospital más cercano?
en|es|I would like a glass of water.|Me gustaría un vaso de agua.
en|es|How much does this cost?|¿Cuánto cuesta esto?
en|es|Thank you very much.|Muchas gracias.
en|es|I don't understand.|No entiendo.
en|es|Can you speak more slowly?|¿Puedes hablar más despacio?
en|de|Hello, how are you?|Hallo, wie geht es Ihnen?
en|de|Good morning!|Guten Morgen!
en|de|Good evening.|Guten Abend.
en|de|What is your name?|Wie heißen Sie?
en|de|My name is Alex.|Ich heiße Alex.
en|de|Please help me.|Bitte helfen Sie mir.
en|de|Where is the nearest hospital?|Wo ist das nächste Krankenhaus?
en|de|I would like a glass of water.|Ich hätte gerne ein Glas Wasser.
en|de|How much does this cost?|Wie viel kostet das?
en|de|Thank you very much.|Vielen Dank.
en|de|I don't understand.|Ich verstehe nicht.
en|de|Can you speak more slowly?|Können Sie bitte langsamer sprechen?
en|ur|Hello, how are you?|ہیلو، آپ کیسے ہیں؟
en|ur|Good morning!|صبح بخیر!
en|ur|Good evening.|شام بخیر۔
en|ur|What is your name?|آپ کا نام کیا ہے؟
en|ur|My name is Alex.|میرا نام ایلکس ہے۔
en|ur|Please help me.|براہ کرم میری مدد کریں۔
en|ur|Where is the nearest hospital?|قریب ترین ہسپتال کہاں ہے؟
en|ur|I would like a glass of water.|مجھے ایک گلاس پانی چاہیے۔
en|ur|How much does this cost?|اس کی قیمت کتنی ہے؟
en|ur|Thank you very much.|بہت بہت شکریہ۔
en|ur|I don't understand.|مجھے سمجھ نہیں آیا۔
en|ur|Can you speak more slowly?|کیا آپ ذرا آہستہ بول سکتے ہیں؟

# --- Idioms & figurative expressions (natural equivalents, NOT literal translations) ---

# French idioms
en|fr|It's raining cats and dogs.|Il pleut des cordes.
en|fr|Break the ice.|Briser la glace.
en|fr|The ball is in your court.|La balle est dans ton camp.
en|fr|Spill the beans.|Cracher le morceau.
en|fr|Once in a blue moon.|Tous les trente-six du mois.
en|fr|Hit the nail on the head.|Taper dans le mille.
en|fr|Under the weather.|Ne pas être dans son assiette.
en|fr|Piece of cake.|C'est du gâteau.
en|fr|Let the cat out of the bag.|Vendre la mèche.

# Spanish idioms
en|es|It's raining cats and dogs.|Está lloviendo a cántaros.
en|es|Break the ice.|Romper el hielo.
en|es|The ball is in your court.|La pelota está en tu tejado.
en|es|Spill the beans.|Irse de la lengua.
en|es|Once in a blue moon.|De higos a brevas.
en|es|Hit the nail on the head.|Dar en el clavo.
en|es|Under the weather.|Estar pachucho.
en|es|Piece of cake.|Pan comido.
en|es|Cost an arm and a leg.|Costar un ojo de la cara.

# German idioms
en|de|It's raining cats and dogs.|Es regnet in Strömen.
en|de|Break the ice.|Das Eis brechen.
en|de|The ball is in your court.|Der Ball liegt in deinem Feld.
en|de|Spill the beans.|Die Katze aus dem Sack lassen.
en|de|Once in a blue moon.|Alle Jubeljahre einmal.
en|de|Hit the nail on the head.|Den Nagel auf den Kopf treffen.
en|de|Piece of cake.|Ein Kinderspiel.
en|de|Cost an arm and a leg.|Ein Vermögen kosten.

# Urdu idioms
en|ur|It's raining cats and dogs.|موسلا دھار بارش ہو رہی ہے۔
en|ur|Break the ice.|بات چیت کا آغاز کرنا۔
en|ur|The ball is in your court.|اب آپ کی باری ہے۔
en|ur|Spill the beans.|راز فاش کرنا۔
en|ur|Hit the nail on the head.|بالکل درست بات کہنا۔
en|ur|Piece of cake.|بائیں ہاتھ کا کھیل۔
en|ur|Under the weather.|طبیعت خراب ہونا۔
en|ur|Cost an arm and a leg.|بہت مہنگا پڑنا۔
en|ur|Back to square one.|وہیں کے وہیں۔

en|ja|Hello, how are you?|こんにちは、お元気ですか？
en|ja|Good morning!|おはようございます！
en|ja|Good evening.|こんばんは。
en|ja|What is your name?|お名前は何ですか？
en|ja|My name is Alex.|私の名前はアレックスです。
en|ja|Please help me.|助けてください。
en|ja|Where is the nearest hospital?|一番近い病院はどこですか？
en|ja|I would like a glass of water.|お水を一杯いただけますか。
en|ja|How much does this cost?|これはいくらですか？
en|ja|Thank you very much.|本当にありがとうございます。
en|ja|I don't understand.|わかりません。
en|ja|Can you speak more slowly?|もう少しゆっくり話していただけますか？

# Japanese idioms
en|ja|It's raining cats and dogs.|土砂降りだ。
en|ja|Break the ice.|場を和ませる。
en|ja|The ball is in your court.|次はあなたの番です。
en|ja|Spill the beans.|秘密を漏らす。
en|ja|Hit the nail on the head.|図星を指す。
en|ja|Piece of cake.|朝飯前。
en|ja|Under the weather.|体調が優れない。
en|ja|Cost an arm and a leg.|非常に高くつく。
